StudentID,Year,Sport,Status,Sex,Race,GPA
13111,2014,Baseball,Freshman,Female,Asian,2.85
10633,2014,Baseball,Freshman,Female,Asian,3
6794,2014,Baseball,Freshman,Female,White,3.27
5656,2014,Baseball,Freshman,Female,White,3.27
11576,2014,Baseball,Freshman,Female,White,2.94
4412,2014,Baseball,Freshman,Male,Asian,3.16
12445,2014,Baseball,Freshman,Male,Black or African American,2.71
8082,2014,Baseball,Freshman,Male,Black or African American,3.13
10286,2014,Baseball,Freshman,Male,Black or African American,2.89
1190,2014,Baseball,Freshman,Male,Hispanic or Latino,3.37
14815,2014,Baseball,Freshman,Male,Hispanic or Latino,2.77
5931,2014,Baseball,Freshman,Male,White,3.16
3308,2014,Baseball,Freshman,Male,White,3.19
6086,2014,Baseball,Freshman,Male,White,3.22
8296,2014,Baseball,Freshman,Male,White,3.1
12050,2014,Baseball,Junior,Female,Asian,2.85
5566,2014,Baseball,Junior,Female,Hispanic or Latino,3.24
10215,2014,Baseball,Junior,Female,Hispanic or Latino,3
14832,2014,Baseball,Junior,Female,Hispanic or Latino,2.88
2944,2014,Baseball,Junior,Female,Hispanic or Latino,3.3
12105,2014,Baseball,Junior,Female,White,2.82
2453,2014,Baseball,Junior,Female,White,3.3
7494,2014,Baseball,Junior,Female,White,3.27
12979,2014,Baseball,Junior,Female,White,2.82
12509,2014,Baseball,Junior,Female,White,2.85
10060,2014,Baseball,Junior,Male,Asian,2.95
855,2014,Baseball,Junior,Male,Asian,3.37
13916,2014,Baseball,Junior,Male,Asian,2.77
52,2014,Baseball,Junior,Male,Asian,3.67
5338,2014,Baseball,Junior,Male,Black or African American,3.1
1498,2014,Baseball,Junior,Male,Black or African American,3.28
7088,2014,Baseball,Junior,Male,White,3.22
5925,2014,Baseball,Senior,Female,Black or African American,3.27
6234,2014,Baseball,Senior,Female,White,3.33
12209,2014,Baseball,Senior,Female,White,2.85
2920,2014,Baseball,Senior,Male,Black or African American,3.19
6029,2014,Baseball,Senior,Male,Black or African American,3.19
10944,2014,Baseball,Senior,Male,Black or African American,2.83
10664,2014,Baseball,Senior,Male,Hispanic or Latino,2.89
9478,2014,Baseball,Senior,Male,White,2.98
3996,2014,Baseball,Sophomore,Female,Asian,3.3
4383,2014,Baseball,Sophomore,Female,Black or African American,3.27
12316,2014,Baseball,Sophomore,Female,Hispanic or Latino,2.79
6717,2014,Baseball,Sophomore,Female,Hispanic or Latino,3.33
6733,2014,Baseball,Sophomore,Female,White,3.3
199,2014,Baseball,Sophomore,Male,Asian,3.58
5661,2014,Baseball,Sophomore,Male,Asian,3.22
11194,2014,Baseball,Sophomore,Male,Black or African American,2.77
1225,2014,Baseball,Sophomore,Male,Hispanic or Latino,3.34
7844,2014,Baseball,Sophomore,Male,White,3.16
3144,2014,Baseball,Sophomore,Male,White,3.22
3264,2014,Baseball,Sophomore,Male,White,3.22
6170,2014,Basketball,Freshman,Female,Asian,3.28
896,2014,Basketball,Freshman,Female,Black or African American,3.04
14356,2014,Basketball,Freshman,Female,Black or African American,3.03
9064,2014,Basketball,Freshman,Female,Black or African American,3.04
4609,2014,Basketball,Freshman,Female,Black or African American,3.19
13170,2014,Basketball,Freshman,Female,Hispanic or Latino,3
13455,2014,Basketball,Freshman,Female,Hispanic or Latino,3.06
12564,2014,Basketball,Freshman,Female,Hispanic or Latino,3.03
757,2014,Basketball,Freshman,Female,Hispanic or Latino,3.01
4047,2014,Basketball,Freshman,Female,White,3.22
4954,2014,Basketball,Freshman,Female,White,3.25
9934,2014,Basketball,Freshman,Female,White,3.04
7024,2014,Basketball,Freshman,Female,White,3.16
7051,2014,Basketball,Freshman,Male,Asian,3.05
4173,2014,Basketball,Freshman,Male,Asian,3.14
7961,2014,Basketball,Freshman,Male,Black or African American,2.99
14539,2014,Basketball,Freshman,Male,Black or African American,3.01
11667,2014,Basketball,Freshman,Male,Black or African American,2.99
6603,2014,Basketball,Freshman,Male,Black or African American,3.23
537,2014,Basketball,Freshman,Male,Hispanic or Latino,2.87
9932,2014,Basketball,Freshman,Male,Hispanic or Latino,2.99
11701,2014,Basketball,Freshman,Male,Hispanic or Latino,2.96
6069,2014,Basketball,Freshman,Male,Hispanic or Latino,3.2
13389,2014,Basketball,Freshman,Male,White,2.95
13500,2014,Basketball,Junior,Female,Asian,3
13978,2014,Basketball,Junior,Female,Asian,3.06
3119,2014,Basketball,Junior,Female,Asian,3.25
12523,2014,Basketball,Junior,Female,Asian,3.06
27,2014,Basketball,Junior,Female,Asian,2.83
196,2014,Basketball,Junior,Female,Asian,2.89
4901,2014,Basketball,Junior,Female,Asian,3.25
8472,2014,Basketball,Junior,Female,Asian,3.04
1531,2014,Basketball,Junior,Female,Black or African American,3.19
6621,2014,Basketball,Junior,Female,Hispanic or Latino,3.28
2838,2014,Basketball,Junior,Female,Hispanic or Latino,3.25
14943,2014,Basketball,Junior,Female,Hispanic or Latino,3.03
5323,2014,Basketball,Junior,Female,White,3.19
1075,2014,Basketball,Junior,Male,Asian,3.02
5207,2014,Basketball,Junior,Male,Asian,3.11
2335,2014,Basketball,Junior,Male,Asian,3.14
5427,2014,Basketball,Junior,Male,Asian,3.14
12190,2014,Basketball,Junior,Male,Asian,2.99
10788,2014,Basketball,Junior,Male,Asian,2.93
